state,year,oberate,unerate,pcspend,fastfood,bachelors,pop,income
Kentucky,2016,34.2,5.0,33301,3179,23.4,4440.306,54440
Louisiana,2016,35.5,6.1,34426,3364,23.4,4681.346,50630
Maine,2016,29.9,3.8,41399,955,30.1,1332.348,61020
Maryland,2016,29.9,4.3,42125,5100,39.3,6007.014,88500
Massachusetts,2016,23.6,4.0,49061,5124,42.7,6827.28,86710
Michigan,2016,32.5,5.0,38081,6832,28.3,9954.117,68500
Minnesota,2016,27.8,3.9,42026,3510,34.8,5525.36,84250
Mississippi,2016,37.3,5.9,30195,2222,21.8,2990.595,49310
Missouri,2016,31.7,4.5,37331,4153,28.5,6091.384,66010
Montana,2016,25.5,4.3,38364,705,31,1042.137,68480
Nebraska,2016,32,3.1,37865,1367,31.4,1906.483,71240
Nevada,2016,25.8,5.8,37334,2439,23.5,2919.555,66510
New Hampshire,2016,26.6,2.9,46880,1008,36.6,1343.694,91500
New Jersey,2016,27.4,4.9,45607,6802,38.6,8873.584,82150
New Mexico,2016,28.3,6.7,32896,1459,27.2,2092.555,58130
New York,2016,25.5,4.9,43996,16955,35.7,19636.391,73720
North Carolina,2016,31.8,5.1,35028,7688,30.4,10161.802,64510
North Dakota,2016,31.9,3.1,43099,475,29.6,756.114,72210
Ohio,2016,31.5,5.0,36834,9298,27.5,11640.06,64770
Oklahoma,2016,32.8,4.6,32267,2771,25.2,3928.143,61120
Oregon,2016,28.7,4.7,37857,2932,32.7,4093.271,70950
Pennsylvania,2016,30.3,5.3,41003,9209,30.8,12788.468,73170
Rhode Island,2016,26.6,5.2,39826,842,34.1,1057.816,73830
South Carolina,2016,32.3,4.9,34947,3488,27.2,4963.031,65200
South Dakota,2016,29.6,3.0,37560,555,28.9,863.693,68930
Tennessee,2016,34.8,4.7,34300,4930,26.1,6651.277,61610
Texas,2016,33.7,4.6,36749,20174,28.9,27914.064,69770
Utah,2016,25.4,3.3,33023,2323,32.6,3044.241,80970
Vermont,2016,27.1,3.1,43655,395,36.4,624.366,73000
Virginia,2016,29,4.0,40164,6376,38.1,8417.651,79730
Washington,2016,28.6,5.2,41937,4844,35.1,7299.961,84360
West Virginia,2016,37.7,6.1,34297,1203,20.8,1832.435,53220
Wisconsin,2016,30.7,3.9,37578,3637,29.5,5775.17,71770
Wyoming,2016,27.7,5.4,40452,379,27.1,585.243,69390
Alabama,2017,36.3,4.5,33020,3964,25.5,4877.989,59980
Alaska,2017,34.2,6.5,47074,456,28.8,740.983,91960
Arizona,2017,29.5,5.0,37651,4880,29.4,7048.088,70390
Arkansas,2017,35,3.7,32785,2116,23.4,3003.855,58660
California,2017,25.1,4.8,44443,31903,33.6,39337.785,82580
Colorado,2017,22.6,2.6,44281,4397,41.2,5617.421,88420
Connecticut,2017,26.9,4.4,49084,2668,38.7,3575.324,87620
Delaware,2017,31.8,4.5,43879,703,31.5,957.942,76600
District of Columbia,2017,23,6.1,66501,891,57.3,697.079,95840
Florida,2017,28.4,4.3,42102,13574,29.7,20977.089,62600
Georgia,2017,31.6,4.8,36470,8615,30.9,10417.031,68370
Hawaii,2017,23.8,2.2,42047,1366,32.9,1425.763,86780
Idaho,2017,29.3,3.2,32724,1144,26.8,1719.745,70160
Illinois,2017,31.1,4.9,41749,10440,34.4,12779.893,77790
Indiana,2017,33.6,3.5,36173,4969,26.8,6662.068,69290
Iowa,2017,36.4,3.1,36790,2131,28.9,3143.734,74840
Kansas,2017,32.4,3.6,36710,2183,33.7,2910.892,67090
Kentucky,2017,34.3,4.8,34456,3340,24,4455.59,58570
Louisiana,2017,36.2,5.1,35577,3585,23.8,4673.673,51370
Maine,2017,29.1,3.4,43245,1011,32.1,1335.743,62870
Maryland,2017,31.3,4.0,43147,5408,39.7,6028.186,96800
Massachusetts,2017,25.9,3.8,50990,5365,43.4,6863.56,89900
Michigan,2017,32.3,4.6,39450,7338,29.1,9976.752,66510
Minnesota,2017,28.4,3.5,43524,3822,36.1,5569.283,82510
Mississippi,2017,37.3,5.2,30952,2321,21.9,2990.674,51030
Missouri,2017,32.5,3.7,38477,4443,29.1,6111.382,66660
Montana,2017,25.3,4.1,39685,738,32.3,1053.862,67690
Nebraska,2017,32.8,3.0,38869,1434,31.7,1916.998,70260
Nevada,2017,26.7,5.0,39008,2599,24.9,2972.097,68440
New Hampshire,2017,28.1,2.8,49084,1068,36.9,1350.395,89180
New Jersey,2017,27.3,4.5,46736,7081,39.7,8888.147,84000
New Mexico,2017,28.4,6.1,33853,1537,27.1,2092.844,53770
New York,2017,25.7,4.6,45811,17778,36,19593.849,72570
North Carolina,2017,32.1,4.5,36372,8024,31.3,10275.758,58420
North Dakota,2017,33.2,2.6,43083,503,30.7,756.755,70950
Ohio,2017,33.8,5.0,38164,9589,28,11665.706,71560
Oklahoma,2017,36.5,4.0,33224,2922,25.5,3933.602,61180
Oregon,2017,29.4,4.1,39694,3118,33.7,4147.294,73690
Pennsylvania,2017,31.6,5.0,42352,9579,31.4,12794.679,72260
Rhode Island,2017,30,4.5,41044,885,33.5,1056.554,77120
South Carolina,2017,34.1,4.2,35995,3724,28,5027.102,64310
South Dakota,2017,31.9,3.1,38776,572,28.1,873.732,67110
Tennessee,2017,32.8,3.7,35610,5263,27.3,6714.748,65210
Texas,2017,33,4.3,38066,21501,29.6,28291.024,70860
Utah,2017,25.3,3.1,34424,2411,34.6,3103.54,82290
Vermont,2017,27.6,3.0,44891,426,38.3,625.132,75090
Virginia,2017,30.1,3.7,41093,6686,38.7,8471.011,83500
Washington,2017,27.7,4.6,43736,5094,35.5,7427.951,84360
West Virginia,2017,38.1,5.2,35123,1298,20.2,1818.683,55370
Wisconsin,2017,32,3.3,39054,3756,30.4,5793.147,74850
Wyoming,2017,28.8,4.3,41471,381,27.6,579.994,70200
Alabama,2018,36.2,3.9,34053,4005,25.5,4891.628,57720
Alaska,2018,29.5,6.0,48904,453,30.2,736.624,79450
Arizona,2018,29.5,4.8,39285,4941,29.7,7164.228,71990
Arkansas,2018,37.1,3.6,34151,2108,23.3,3012.161,57540
California,2018,25.8,4.3,46948,32534,34.2,39437.463,81480
Colorado,2018,23,3.0,46115,4362,41.7,5697.155,84420
Connecticut,2018,27.4,3.9,50888,2713,39.6,3574.561,84160
Delaware,2018,33.5,3.8,45782,762,31.3,966.985,75140
District of Columbia,2018,24.7,5.6,69871,896,60.4,704.147,99110
Florida,2018,30.7,3.7,44005,14061,30.4,21254.926,63160
Georgia,2018,32.5,4.0,37967,8762,31.9,10519.389,64520
Hawaii,2018,24.9,2.4,43813,1380,33.5,1423.102,92590
Idaho,2018,28.4,2.9,33973,1171,27.7,1752.074,67880
Illinois,2018,31.8,4.4,43625,10460,35.1,12724.685,81080
Indiana,2018,34.1,3.4,37593,4961,27.1,6698.481,69230
Iowa,2018,35.3,2.5,37817,2136,29,3149.9,79430
Kansas,2018,34.4,3.3,37966,2175,33.8,2912.748,73900
Kentucky,2018,36.6,4.2,35940,3317,24.8,4464.273,63060
Louisiana,2018,36.8,4.8,36862,3544,24.3,4664.45,57760
Maine,2018,30.4,3.1,45253,1007,31.5,1340.123,67810
Maryland,2018,30.9,3.6,44612,5424,40.8,6042.153,99660
Massachusetts,2018,25.7,3.4,52863,5387,44.5,6885.72,99800
Michigan,2018,33,4.2,40991,7384,29.6,9987.286,69870
Minnesota,2018,30.1,3.1,45231,3781,36.7,5608.762,83010
Mississippi,2018,39.5,4.9,31767,2301,23.2,2982.879,49450
Missouri,2018,35,3.2,39942,4476,29.5,6125.986,71350
Montana,2018,26.9,3.7,41576,746,31.7,1061.818,66670
Nebraska,2018,34.1,2.9,39995,1391,32.4,1925.512,78110
Nevada,2018,29.5,4.4,40610,2612,24.9,3030.725,71510
New Hampshire,2018,29.6,2.6,50571,1085,36.8,1355.064,94020
New Jersey,2018,25.7,4.0,48411,7212,40.8,8891.73,85740
New Mexico,2018,32.3,4.9,35349,1539,27.7,2093.754,55810
New York,2018,27.6,4.1,47925,17955,37.2,19544.098,77760
North Carolina,2018,33,4.0,37769,8070,31.9,10391.358,61690
North Dakota,2018,35.1,2.4,44511,500,29.7,760.062,76870
Ohio,2018,34,4.5,39380,9683,29,11680.892,71240
Oklahoma,2018,34.8,3.3,34621,3009,25.6,3943.488,62920
Oregon,2018,29.9,4.0,41613,3095,34,4183.538,79950
Pennsylvania,2018,30.9,4.5,44338,9669,31.8,12809.107,74580
Rhode Island,2018,27.7,4.1,42598,861,34.4,1059.338,71970
South Carolina,2018,34.3,3.4,37178,3786,28.3,5091.702,66400
South Dakota,2018,30.1,2.8,40368,565,29.2,879.386,68730
Tennessee,2018,34.4,3.5,36770,5319,27.5,6778.18,64800
Texas,2018,34.8,3.9,39450,21986,30.3,28624.564,69100
